num_events,duration,total_distance,avg_velocity,std_velocity,max_velocity,median_velocity,avg_acceleration,std_acceleration,avg_angular_velocity,avg_curvature,click_count,click_rate,drag_count,drag_ratio,pause_count,pause_ratio,x_mean,y_mean,x_std,y_std,x_range,y_range,straightness,avg_sampling_rate,user_id,session_id,split,is_illegal
30287,15654.895,1843443.2940792972,317.0095607828311,865.8850835806686,6708.074568692221,42.016821552169354,2875.99937947126,8787.77828445314,4.014394390209875,0.1747288644838572,1080,0.0689880066266813,1258,0.04153597252946809,2122,0.07006306336051771,749.522732525506,500.77062766203323,529.8283304059981,443.658125040101,65535.0,65535.0,50.0,1.9346664413910153,user12,session_2144641057,train,0
32322,17996.849,2975195.319007987,402.6083312339305,1127.2347420179294,8920.063936504397,55.99918230060268,3715.400200383911,11623.480344649603,4.424261222809065,0.16771177856865044,1228,0.06823416699223292,1311,0.04056060887321329,2167,0.06704411855701999,927.3594455788627,497.98697481591483,876.237745591887,845.1243752991835,65535.0,65535.0,50.0,1.7959810631294402,user12,session_5265929106,train,0
48244,15222.425,2933242.530117234,328.236933543821,909.0953716571236,6824.900524740961,50.000022916335766,2856.219796256274,8710.724236545406,4.694244633197195,0.1897403528604725,1616,0.1061591697774829,2533,0.052503938313572675,3059,0.06340684852002322,596.7116947185142,427.86696791310834,294.5031284653301,164.3575155290746,1363.0,767.0,50.0,3.169271650213419,user12,session_5815391283,train,0
32652,13872.8599999,1992101.8638300768,249.36148521314246,825.2123568496219,6508.053829524295,6.331791360698726,2356.1360023640996,8135.4484042323365,3.0839633993808535,0.1458612727251015,928,0.06689320010485865,1211,0.03708808036261178,1785,0.054667401690554944,682.5357405365675,581.6545387725101,334.0612249314779,265.6928763015517,1919.0,1079.0,50.0,2.3536603123101774,user12,session_7409188284,train,0
33550,15586.9940002,2160422.3155342326,315.647331684835,976.6782229204898,7394.255303473962,33.505518181230634,2936.149327025058,9888.505360804777,4.058450346460956,0.1780632254332701,1178,0.07557582943734274,1514,0.04512667660208644,2490,0.07421758569299552,646.5224143070045,376.93472429210135,279.1284692309696,170.2548418404462,1363.0,767.0,50.0,2.1524355497647276,user12,session_8872593360,train,0
40047,16486.967,2234352.184878787,305.8784149559688,737.0196380871749,5321.695570908558,48.96495646733479,2555.3485363415757,6898.949453381049,4.52741801640232,0.2015287308959635,1477,0.08958591352793997,1790,0.04469748046045896,2908,0.07261467775363947,525.40390041701,406.8864084700477,298.53234782961647,183.02155728986006,1363.0,767.0,50.0,2.429009532195946,user12,session_9031593624,train,0
29722,16845.892,1963335.1130582036,384.32687352769057,1038.022112338181,7869.674573877101,50.81405691526054,3455.206044483962,10479.964044372548,4.434709925297745,0.19203265217892473,1229,0.07295547187409251,877,0.029506762667384428,2086,0.07018370230805464,916.1645582396877,483.02382073884667,405.287141803001,256.6502291071794,1909.0,1079.0,50.0,1.764347058618208,user12,session_9838420452,train,0
17156,12221.8609998,1025600.141660444,350.4902147957476,869.0016066596785,6066.30488836868,50.95807278294726,3155.514259796206,8880.454661907424,3.539646660763752,0.10112120994543163,1126,0.09212999558892268,835,0.0486710188855211,651,0.03794590813709489,759.812368850548,508.54453252506414,490.3997656083594,271.86376191197274,1919.0,1079.0,50.0,1.4037142134312233,user15,session_0205904470,train,0
30742,18082.925,1244028.64385418,286.3550031128516,730.9680126549275,5368.988141092339,41.21322647644563,2730.587988368298,8121.464079966637,3.58124441790207,0.10444226812020571,2559,0.14151471623091952,1706,0.0554941122893761,1251,0.040693513759677315,796.5630733198881,546.0566976774445,464.0060879207948,246.71234762803522,1919.0,1079.0,50.0,1.7000568215595653,user15,session_1366248436,train,0
16971,17783.0140002,826961.5128079007,306.9907485819258,692.6675549737913,5000.0,53.57142857095526,2495.2340090536363,6233.845493272564,3.3011050067588092,0.10947635321233899,1106,0.06219418148057248,629,0.0370632255023275,671,0.03953803547227624,528.1880855577161,463.687231159036,425.34163852787844,286.63035579243285,1919.0,1079.0,50.0,0.954337661760213,user15,session_5657866014,train,0
44018,25949.0210001,3291093.572174766,594.449362623877,2239.7528321005175,20086.51411394039,73.04344807968954,11320.181693750626,64135.04512995346,4.452849932610601,0.10322776132726062,2296,0.08848118007963197,547,0.012426734517697305,1201,0.027284292789313463,519.5412785678586,546.5983006951701,373.0155168509032,323.43257532674517,1919.0,1079.0,50.0,1.6963260386521082,user15,session_6715291950,train,0
23354,13385.1800001,1082732.6963052049,313.7599209828674,724.3703048515589,5000.0,57.55769582503328,2870.1000331521027,7496.999238230712,3.8163265147890395,0.10857169272178459,1445,0.10795521614122519,1836,0.07861608289800462,622,0.026633553138648625,554.1806970968571,483.03605378093687,460.12206696702725,293.05629935090684,1919.0,1079.0,50.0,1.744765479420189,user15,session_8694009379,train,0
17680,14854.7689998,1076269.9286704687,381.2994521302717,943.9460796358638,7069.880777253229,62.50002403849945,4981.400124119266,21212.28784494037,3.88508219653871,0.09144145970835815,924,0.06220224629628643,2090,0.11821266968325791,439,0.024830316742081446,763.6644230769231,459.9152149321267,522.6598337080371,267.10401447938415,1919.0,1079.0,50.0,1.190190167227645,user15,session_8848361933,train,0
53816,12361.8840001,3336783.5512972567,355.67775685103373,949.9236491688691,7061.17568547171,48.0529042837277,3363.6752719009214,9877.065874810467,5.0233865614436075,0.14237020437913347,3272,0.26468457396732825,2909,0.05405455626579456,1465,0.027222387394083544,521.0049241861157,478.7017243942322,390.7032271206947,281.3346763429265,1919.0,1079.0,50.0,4.353381733687572,user16,session_0735651357,train,0
37774,15348.6890001,2050693.9226190073,295.51491911883915,822.3717024276292,6082.318528413715,34.938513016268445,2826.1119695411844,8538.20447951855,4.945077099688493,0.16979110641742728,2180,0.1420316744958346,3529,0.09342404828718166,1548,0.0409805686450998,552.5658389368349,419.68144755652037,507.8479984618411,256.69084327291165,1919.0,1079.0,50.0,2.461057097433787,user16,session_1607878631,train,0
37464,18960.296,2466988.9795523304,356.9213879736861,962.2394144147463,6998.688308026969,48.18966477001584,3443.0148762653216,10301.684638583298,5.097043771416093,0.13902050962205242,2172,0.11455517361121367,1398,0.03731582319026265,1053,0.028106982703395258,424.9867072389494,492.50835468716633,293.4937883145075,293.05345366664665,1919.0,1079.0,50.0,1.9759185194155198,user16,session_1658051584,train,0
45839,14519.02,4691925.14562009,482.7240951187227,1373.3411573779038,8799.261466906419,44.50547588330606,4824.0306125905545,14870.681678072606,5.41493434864481,0.11910000633307624,2198,0.15138762809060116,2802,0.061126987936037,1125,0.02454242020986496,498.48072601932853,503.41887912039965,334.1191314143519,285.82442175579837,1919.0,1079.0,50.0,3.1571690100296026,user16,session_3012944488,train,0
36725,15492.6930001,2018746.8126412197,321.0016213256472,942.2958640224307,7267.408824446097,36.69725861459709,12015.460312934434,90693.83182369015,5.12407943122366,0.14456997869957608,2058,0.13283681539334163,1992,0.05424098025867937,1034,0.028155207624234173,415.0528522804629,476.526017699115,336.32773194389847,276.6537858802236,1919.0,1079.0,50.0,2.370472325228606,user16,session_5398005306,train,0
28428,9956.94500017,2060967.6707647014,401.4645458085496,994.0936527367695,6675.30403920022,53.88349416053343,3730.1282767539547,10136.509896614407,5.438270355714761,0.14977609524667057,1653,0.16601477661790615,919,0.032327282960461515,861,0.030287040945546646,477.70268749120584,482.0601167862671,380.72918223997584,282.0447818221824,1919.0,1079.0,50.0,2.855092601145696,user16,session_6961018175,train,0
36004,2391.43799996,695736.3094355334,42.332589513779745,358.30692719538285,5000.0,0.0,213.35512699123663,1163.5905982934296,1.0032090130676075,0.14125795048805664,507,0.21200633259506632,1261,0.03502388623486279,419,0.011637595822686368,558.272469725586,477.6198200199978,468.2812343242494,401.090249332024,65535.0,65535.0,50.0,15.055376723378242,user20,session_0214655159,train,0
55286,7323.00900006,1417601.0547534968,68.8929310072652,475.5677506881838,5000.0,0.0,32816.242747737735,252781.16333319436,1.9366843522822237,0.21872762155775946,467,0.06377159989782528,1437,0.025992113735846326,598,0.010816481568570705,383.69742792026915,437.01045472633217,673.8556158827965,653.3434383808441,65535.0,65535.0,50.0,7.549628847861175,user20,session_0764157160,train,0
60087,5374.43099999,443188.19698648783,26.212862568577904,279.3787518765243,5000.0,0.0,77.77565307506796,389.88662460063597,0.7336031020767075,0.1225921754328676,502,0.09340523675919071,731,0.012165693078369698,624,0.010384941834340206,338.6071862466091,291.9950904521777,307.13686560323276,267.34617314106913,1439.0,899.0,50.0,11.180160281174286,user20,session_2372891077,train,0
